year,state,disabilityType,classOfWorker,percentage,numbers
2018,Texas,With a Disability,Self-employed in own not incorporated business workers,8.8,69663
2018,Texas,No Disability,Self-employed in own not incorporated business workers,6.7,850691.563
2018,Texas,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,26977.028
2018,Texas,With a Disability,Unpaid family workers,0.4,3166.5
2018,Texas,No Disability,Unpaid family workers,0.2,25393.778
2018,Idaho,Total Civilian Noninstitutionalized Population,,100,806802
2018,Idaho,With a Disability,,100,57484
2018,Idaho,No Disability,,100,749318
2018,Idaho,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,71.7,578477.034
2018,Idaho,With a Disability,Private for-profit wage and salary workers,69.7,40066.348
2018,Idaho,No Disability,Private for-profit wage and salary workers,71.9,538759.642
2018,Idaho,Total Civilian Noninstitutionalized Population,Employee of private company workers,67.2,542170.944
2018,Idaho,With a Disability,Employee of private company workers,65.2,37479.568
2018,Idaho,No Disability,Employee of private company workers,67.3,504291.014
2018,Idaho,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,4.6,37112.892
2018,Idaho,With a Disability,Self-employed in own incorporated business workers,4.5,2586.78
2018,Idaho,No Disability,Self-employed in own incorporated business workers,4.6,34468.628
2018,Idaho,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,7.1,57282.942
2018,Idaho,With a Disability,Private not-for-profit wage and salary workers,7.1,4081.364
2018,Idaho,No Disability,Private not-for-profit wage and salary workers,7.1,53201.578
2018,Idaho,Total Civilian Noninstitutionalized Population,Local government workers,6.4,51635.328
2018,Idaho,With a Disability,Local government workers,6.3,3621.492
2018,Idaho,No Disability,Local government workers,6.4,47956.352
2018,Idaho,Total Civilian Noninstitutionalized Population,State government workers,4.8,38726.496
2018,Idaho,With a Disability,State government workers,4.9,2816.716
2018,Idaho,No Disability,State government workers,4.8,35967.264
2018,Idaho,Total Civilian Noninstitutionalized Population,Federal government workers,2.6,20976.852
2018,Idaho,With a Disability,Federal government workers,2.5,1437.1
2018,Idaho,No Disability,Federal government workers,2.6,19482.268
2018,Idaho,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,7.1,57282.942
2018,Idaho,With a Disability,Self-employed in own not incorporated business workers,9.2,5288.528
2018,Idaho,No Disability,Self-employed in own not incorporated business workers,6.9,51702.942
2018,Idaho,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.3,2420.406
2018,Idaho,With a Disability,Unpaid family workers,0.3,172.452
2018,Idaho,No Disability,Unpaid family workers,0.3,2247.954
2018,Maryland,Total Civilian Noninstitutionalized Population,,100,3090126
2018,Maryland,With a Disability,,100,179431
2018,Maryland,No Disability,,100,2910695
2018,Maryland,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,64.5,1993131.27
2018,Maryland,With a Disability,Private for-profit wage and salary workers,62.7,112503.237
2018,Maryland,No Disability,Private for-profit wage and salary workers,64.6,1880308.97
2018,Maryland,Total Civilian Noninstitutionalized Population,Employee of private company workers,61.2,1891157.112
2018,Maryland,With a Disability,Employee of private company workers,59.7,107120.307
2018,Maryland,No Disability,Employee of private company workers,61.3,1784256.035
2018,Maryland,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.3,101974.158
2018,Maryland,With a Disability,Self-employed in own incorporated business workers,3,5382.93
2018,Maryland,No Disability,Self-employed in own incorporated business workers,3.3,96052.935
2018,Maryland,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,9.6,296652.096
2018,Maryland,With a Disability,Private not-for-profit wage and salary workers,9.5,17045.945
2018,Maryland,No Disability,Private not-for-profit wage and salary workers,9.7,282337.415
2018,Maryland,Total Civilian Noninstitutionalized Population,Local government workers,7,216308.82
2018,Maryland,With a Disability,Local government workers,7.1,12739.601
2018,Maryland,No Disability,Local government workers,7,203748.65
2018,Maryland,Total Civilian Noninstitutionalized Population,State government workers,4.3,132875.418
2018,Maryland,With a Disability,State government workers,3.4,6100.654
2018,Maryland,No Disability,State government workers,4.3,125159.885
2018,Maryland,Total Civilian Noninstitutionalized Population,Federal government workers,9.5,293561.97
2018,Maryland,With a Disability,Federal government workers,10.8,19378.548
2018,Maryland,No Disability,Federal government workers,9.4,273605.33
2018,Maryland,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,4.9,151416.174
2018,Maryland,With a Disability,Self-employed in own not incorporated business workers,6.2,11124.722
2018,Maryland,No Disability,Self-employed in own not incorporated business workers,4.9,142624.055
2018,Maryland,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.1,3090.126
2018,Maryland,With a Disability,Unpaid family workers,0.3,538.293
2018,Maryland,No Disability,Unpaid family workers,0.1,2910.695
2018,New Mexico,Total Civilian Noninstitutionalized Population,,100,875151
2018,New Mexico,With a Disability,,100,63212
2018,New Mexico,No Disability,,100,811939
2018,New Mexico,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,65.5,573223.905
2018,New Mexico,With a Disability,Private for-profit wage and salary workers,61.5,38875.38
2018,New Mexico,No Disability,Private for-profit wage and salary workers,65.8,534255.862
2018,New Mexico,Total Civilian Noninstitutionalized Population,Employee of private company workers,62.2,544343.922
2018,New Mexico,With a Disability,Employee of private company workers,57.8,36536.536
2018,New Mexico,No Disability,Employee of private company workers,62.5,507461.875
2018,New Mexico,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.3,28879.983
2018,New Mexico,With a Disability,Self-employed in own incorporated business workers,3.8,2402.056
2018,New Mexico,No Disability,Self-employed in own incorporated business workers,3.2,25982.048
2018,New Mexico,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,6.2,54259.362
2018,New Mexico,With a Disability,Private not-for-profit wage and salary workers,8,5056.96
2018,New Mexico,No Disability,Private not-for-profit wage and salary workers,6.1,49528.279
2018,New Mexico,Total Civilian Noninstitutionalized Population,Local government workers,7.7,67386.627
2018,New Mexico,With a Disability,Local government workers,6.9,4361.628
2018,New Mexico,No Disability,Local government workers,7.8,63331.242
2018,New Mexico,Total Civilian Noninstitutionalized Population,State government workers,7.4,64761.174
2018,New Mexico,With a Disability,State government workers,7.7,4867.324
2018,New Mexico,No Disability,State government workers,7.3,59271.547
2018,New Mexico,Total Civilian Noninstitutionalized Population,Federal government workers,6.2,54259.362
2018,New Mexico,With a Disability,Federal government workers,5,3160.6
2018,New Mexico,No Disability,Federal government workers,6.3,51152.157
2018,New Mexico,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,6.8,59510.268
2018,New Mexico,With a Disability,Self-employed in own not incorporated business workers,10.5,6637.26
2018,New Mexico,No Disability,Self-employed in own not incorporated business workers,6.5,52776.035
2018,New Mexico,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,1750.302
2018,New Mexico,With a Disability,Unpaid family workers,0.4,252.848
2018,New Mexico,No Disability,Unpaid family workers,0.2,1623.878
2018,Alabama,Total Civilian Noninstitutionalized Population,,100,2094271
2018,Alabama,With a Disability,,100,146046
2018,Alabama,No Disability,,100,1948225
2018,Alabama,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,73,1528817.83
2018,Alabama,With a Disability,Private for-profit wage and salary workers,69.7,101794.062
2018,Alabama,No Disability,Private for-profit wage and salary workers,73.2,1426100.7
2018,Alabama,Total Civilian Noninstitutionalized Population,Employee of private company workers,69.9,1463895.429
2018,Alabama,With a Disability,Employee of private company workers,66.8,97558.728
2018,Alabama,No Disability,Employee of private company workers,70.1,1365705.725
2018,Alabama,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.1,64922.401
2018,Alabama,With a Disability,Self-employed in own incorporated business workers,2.9,4235.334
2018,Alabama,No Disability,Self-employed in own incorporated business workers,3.1,60394.975
2018,Alabama,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,6.3,131939.073
2018,Alabama,With a Disability,Private not-for-profit wage and salary workers,7.3,10661.358
2018,Alabama,No Disability,Private not-for-profit wage and salary workers,6.3,122738.175
2018,Alabama,Total Civilian Noninstitutionalized Population,Local government workers,6.3,131939.073
2018,Alabama,With a Disability,Local government workers,6,8762.76
2018,Alabama,No Disability,Local government workers,6.3,122738.175
2018,Alabama,Total Civilian Noninstitutionalized Population,State government workers,5.6,117279.176
2018,Alabama,With a Disability,State government workers,4.9,7156.254
2018,Alabama,No Disability,State government workers,5.6,109100.6
2018,Alabama,Total Civilian Noninstitutionalized Population,Federal government workers,3.1,64922.401
2018,Alabama,With a Disability,Federal government workers,3.6,5257.656
2018,Alabama,No Disability,Federal government workers,3.1,60394.975
2018,Alabama,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,5.6,117279.176
2018,Alabama,With a Disability,Self-employed in own not incorporated business workers,8.1,11829.726
2018,Alabama,No Disability,Self-employed in own not incorporated business workers,5.4,105204.15
2018,Alabama,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.1,2094.271
2018,Alabama,With a Disability,Unpaid family workers,0.3,438.138
2018,Alabama,No Disability,Unpaid family workers,0.1,1948.225
2018,Tennessee,Total Civilian Noninstitutionalized Population,,100,3133031
2018,Tennessee,With a Disability,,100,223571
2018,Tennessee,No Disability,,100,2909460
2018,Tennessee,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,73.1,2290245.661
2018,Tennessee,With a Disability,Private for-profit wage and salary workers,68.3,152698.993
2018,Tennessee,No Disability,Private for-profit wage and salary workers,73.5,2138453.1
2018,Tennessee,Total Civilian Noninstitutionalized Population,Employee of private company workers,70.8,2218185.948
2018,Tennessee,With a Disability,Employee of private company workers,65.8,147109.718
2018,Tennessee,No Disability,Employee of private company workers,71.2,2071535.52
2018,Tennessee,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,2.3,72059.713
2018,Tennessee,With a Disability,Self-employed in own incorporated business workers,2.5,5589.275
2018,Tennessee,No Disability,Self-employed in own incorporated business workers,2.2,64008.12
2018,Tennessee,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,7.2,225578.232
2018,Tennessee,With a Disability,Private not-for-profit wage and salary workers,7.5,16767.825
2018,Tennessee,No Disability,Private not-for-profit wage and salary workers,7.2,209481.12
2018,Tennessee,Total Civilian Noninstitutionalized Population,Local government workers,6.6,206780.046
2018,Tennessee,With a Disability,Local government workers,6.5,14532.115
2018,Tennessee,No Disability,Local government workers,6.6,192024.36
2018,Tennessee,Total Civilian Noninstitutionalized Population,State government workers,3.9,122188.209
2018,Tennessee,With a Disability,State government workers,4.6,10284.266
2018,Tennessee,No Disability,State government workers,3.9,113468.94
2018,Tennessee,Total Civilian Noninstitutionalized Population,Federal government workers,2.3,72059.713
2018,Tennessee,With a Disability,Federal government workers,3,6707.13
2018,Tennessee,No Disability,Federal government workers,2.2,64008.12
2018,Tennessee,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,6.7,209913.077
2018,Tennessee,With a Disability,Self-employed in own not incorporated business workers,9.9,22133.529
2018,Tennessee,No Disability,Self-employed in own not incorporated business workers,6.4,186205.44
2018,Tennessee,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,6266.062
2018,Tennessee,With a Disability,Unpaid family workers,0.2,447.142
2018,Tennessee,No Disability,Unpaid family workers,0.1,2909.46
2018,Vermont,Total Civilian Noninstitutionalized Population,,100,330945
2018,Vermont,With a Disability,,100,24927
2018,Vermont,No Disability,,100,306018
2018,Vermont,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,60.8,201214.56
2018,Vermont,With a Disability,Private for-profit wage and salary workers,56.9,14183.463
2018,Vermont,No Disability,Private for-profit wage and salary workers,61.1,186976.998
2018,Vermont,Total Civilian Noninstitutionalized Population,Employee of private company workers,56.3,186322.035
2018,Vermont,With a Disability,Employee of private company workers,52.7,13136.529
2018,Vermont,No Disability,Employee of private company workers,56.6,173206.188
2018,Vermont,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,4.5,14892.525
2018,Vermont,With a Disability,Self-employed in own incorporated business workers,4.2,1046.934
2018,Vermont,No Disability,Self-employed in own incorporated business workers,4.5,13770.81
2018,Vermont,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,15.9,52620.255
2018,Vermont,With a Disability,Private not-for-profit wage and salary workers,17.9,4461.933
2018,Vermont,No Disability,Private not-for-profit wage and salary workers,15.7,48044.826
2018,Vermont,Total Civilian Noninstitutionalized Population,Local government workers,6.7,22173.315
2018,Vermont,With a Disability,Local government workers,5.6,1395.912
2018,Vermont,No Disability,Local government workers,6.8,20809.224
2018,Vermont,Total Civilian Noninstitutionalized Population,State government workers,4.7,15554.415
2018,Vermont,With a Disability,State government workers,4.1,1022.007
2018,Vermont,No Disability,State government workers,4.7,14382.846
2018,Vermont,Total Civilian Noninstitutionalized Population,Federal government workers,2.1,6949.845
2018,Vermont,With a Disability,Federal government workers,2.7,673.029
2018,Vermont,No Disability,Federal government workers,2,6120.36
2018,Vermont,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,9.5,31439.775
2018,Vermont,With a Disability,Self-employed in own not incorporated business workers,11.8,2941.386
2018,Vermont,No Disability,Self-employed in own not incorporated business workers,9.3,28459.674
2018,Vermont,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.3,992.835
2018,Vermont,With a Disability,Unpaid family workers,0.9,224.343
2018,Vermont,No Disability,Unpaid family workers,0.3,918.054
2018,Nevada,Total Civilian Noninstitutionalized Population,,100,1446090
2018,Nevada,With a Disability,,100,92047
2018,Nevada,No Disability,,100,1354043
2018,Nevada,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,79.2,1145303.28
2018,Nevada,With a Disability,Private for-profit wage and salary workers,75.6,69587.532
2018,Nevada,No Disability,Private for-profit wage and salary workers,79.5,1076464.185
2018,Nevada,Total Civilian Noninstitutionalized Population,Employee of private company workers,75.8,1096136.22
2018,Nevada,With a Disability,Employee of private company workers,72.4,66642.028
2018,Nevada,No Disability,Employee of private company workers,76.1,1030426.723
2018,Nevada,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.4,49167.06
2018,Nevada,With a Disability,Self-employed in own incorporated business workers,3.2,2945.504
2018,Nevada,No Disability,Self-employed in own incorporated business workers,3.4,46037.462
2018,Nevada,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,3.4,49167.06
2018,Nevada,With a Disability,Private not-for-profit wage and salary workers,6.4,5891.008
2018,Nevada,No Disability,Private not-for-profit wage and salary workers,3.2,43329.376
2018,Nevada,Total Civilian Noninstitutionalized Population,Local government workers,6.1,88211.49
2018,Nevada,With a Disability,Local government workers,4.8,4418.256
2018,Nevada,No Disability,Local government workers,6.2,83950.666
2018,Nevada,Total Civilian Noninstitutionalized Population,State government workers,3.2,46274.88
2018,Nevada,With a Disability,State government workers,3.8,3497.786
2018,Nevada,No Disability,State government workers,3.2,43329.376
2018,Nevada,Total Civilian Noninstitutionalized Population,Federal government workers,2.2,31813.98
2018,Nevada,With a Disability,Federal government workers,2.5,2301.175
2018,Nevada,No Disability,Federal government workers,2.2,29788.946
2018,Nevada,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,5.7,82427.13
2018,Nevada,With a Disability,Self-employed in own not incorporated business workers,6.6,6075.102
2018,Nevada,No Disability,Self-employed in own not incorporated business workers,5.6,75826.408
2018,Nevada,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,2892.18
2018,Nevada,With a Disability,Unpaid family workers,0.2,184.094
2018,Nevada,No Disability,Unpaid family workers,0.2,2708.086
2018,West Virginia,Total Civilian Noninstitutionalized Population,,100,741817
2018,West Virginia,With a Disability,,100,58820
2018,West Virginia,No Disability,,100,682997
2018,West Virginia,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,69,511853.73
2018,West Virginia,With a Disability,Private for-profit wage and salary workers,67.5,39703.5
2018,West Virginia,No Disability,Private for-profit wage and salary workers,69.1,471950.927
2018,West Virginia,Total Civilian Noninstitutionalized Population,Employee of private company workers,67.2,498501.024
2018,West Virginia,With a Disability,Employee of private company workers,64.8,38115.36
2018,West Virginia,No Disability,Employee of private company workers,67.4,460339.978
2018,West Virginia,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,1.8,13352.706
2018,West Virginia,With a Disability,Self-employed in own incorporated business workers,2.8,1646.96
2018,West Virginia,No Disability,Self-employed in own incorporated business workers,1.7,11610.949
2018,West Virginia,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,7.8,57861.726
2018,West Virginia,With a Disability,Private not-for-profit wage and salary workers,8.4,4940.88
2018,West Virginia,No Disability,Private not-for-profit wage and salary workers,7.8,53273.766
2018,West Virginia,Total Civilian Noninstitutionalized Population,Local government workers,7,51927.19
2018,West Virginia,With a Disability,Local government workers,5.4,3176.28
2018,West Virginia,No Disability,Local government workers,7.2,49175.784
2018,West Virginia,Total Civilian Noninstitutionalized Population,State government workers,8.3,61570.811
2018,West Virginia,With a Disability,State government workers,9.8,5764.36
2018,West Virginia,No Disability,State government workers,8.2,56005.754
2018,West Virginia,Total Civilian Noninstitutionalized Population,Federal government workers,3.7,27447.229
2018,West Virginia,With a Disability,Federal government workers,3.7,2176.34
2018,West Virginia,No Disability,Federal government workers,3.7,25270.889
2018,West Virginia,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,4.1,30414.497
2018,West Virginia,With a Disability,Self-employed in own not incorporated business workers,5,2941
2018,West Virginia,No Disability,Self-employed in own not incorporated business workers,4,27319.88
2018,West Virginia,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.1,741.817
2018,West Virginia,With a Disability,Unpaid family workers,0.1,58.82
2018,West Virginia,No Disability,Unpaid family workers,0.1,682.997
2018,Oklahoma,Total Civilian Noninstitutionalized Population,,100,1790970
2018,Oklahoma,With a Disability,,100,157520
2018,Oklahoma,No Disability,,100,1633450
2018,Oklahoma,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,70.4,1260842.88
2018,Oklahoma,With a Disability,Private for-profit wage and salary workers,65.1,102545.52
2018,Oklahoma,No Disability,Private for-profit wage and salary workers,70.9,1158116.05
2018,Oklahoma,Total Civilian Noninstitutionalized Population,Employee of private company workers,66.9,1198158.93
2018,Oklahoma,With a Disability,Employee of private company workers,61.4,96717.28
2018,Oklahoma,No Disability,Employee of private company workers,67.4,1100945.3
2018,Oklahoma,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.5,62683.95
2018,Oklahoma,With a Disability,Self-employed in own incorporated business workers,3.7,5828.24
2018,Oklahoma,No Disability,Self-employed in own incorporated business workers,3.5,57170.75
2018,Oklahoma,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,6.7,119994.99
2018,Oklahoma,With a Disability,Private not-for-profit wage and salary workers,7.7,12129.04
2018,Oklahoma,No Disability,Private not-for-profit wage and salary workers,6.6,107807.7
2018,Oklahoma,Total Civilian Noninstitutionalized Population,Local government workers,5.5,98503.35
2018,Oklahoma,With a Disability,Local government workers,7,11026.4
2018,Oklahoma,No Disability,Local government workers,5.3,86572.85
2018,Oklahoma,Total Civilian Noninstitutionalized Population,State government workers,6.7,119994.99
2018,Oklahoma,With a Disability,State government workers,6.1,9608.72
2018,Oklahoma,No Disability,State government workers,6.8,111074.6
2018,Oklahoma,Total Civilian Noninstitutionalized Population,Federal government workers,4,71638.8
2018,Oklahoma,With a Disability,Federal government workers,3.9,6143.28
2018,Oklahoma,No Disability,Federal government workers,4,65338
2018,Oklahoma,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,6.5,116413.05
2018,Oklahoma,With a Disability,Self-employed in own not incorporated business workers,9.6,15121.92
2018,Oklahoma,No Disability,Self-employed in own not incorporated business workers,6.2,101273.9
2018,Oklahoma,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,3581.94
2018,Oklahoma,With a Disability,Unpaid family workers,0.7,1102.64
2018,Oklahoma,No Disability,Unpaid family workers,0.2,3266.9
2018,Wisconsin,Total Civilian Noninstitutionalized Population,,100,2993686
2018,Wisconsin,With a Disability,,100,161965
2018,Wisconsin,No Disability,,100,2831721
2018,Wisconsin,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,74.4,2227302.384
2018,Wisconsin,With a Disability,Private for-profit wage and salary workers,72.2,116938.73
2018,Wisconsin,No Disability,Private for-profit wage and salary workers,74.6,2112463.866
2018,Wisconsin,Total Civilian Noninstitutionalized Population,Employee of private company workers,71.2,2131504.432
2018,Wisconsin,With a Disability,Employee of private company workers,68.5,110946.025
2018,Wisconsin,No Disability,Employee of private company workers,71.3,2019017.073
2018,Wisconsin,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.3,98791.638
2018,Wisconsin,With a Disability,Self-employed in own incorporated business workers,3.7,5992.705
2018,Wisconsin,No Disability,Self-employed in own incorporated business workers,3.2,90615.072
2018,Wisconsin,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,9.1,272425.426
2018,Wisconsin,With a Disability,Private not-for-profit wage and salary workers,10.1,16358.465
2018,Wisconsin,No Disability,Private not-for-profit wage and salary workers,9,254854.89
2018,Wisconsin,Total Civilian Noninstitutionalized Population,Local government workers,5.9,176627.474
2018,Wisconsin,With a Disability,Local government workers,5.8,9393.97
2018,Wisconsin,No Disability,Local government workers,6,169903.26
2018,Wisconsin,Total Civilian Noninstitutionalized Population,State government workers,4.3,128728.498
2018,Wisconsin,With a Disability,State government workers,3.6,5830.74
2018,Wisconsin,No Disability,State government workers,4.3,121764.003
2018,Wisconsin,Total Civilian Noninstitutionalized Population,Federal government workers,1.2,35924.232
2018,Wisconsin,With a Disability,Federal government workers,1.2,1943.58
2018,Wisconsin,No Disability,Federal government workers,1.2,33980.652
2018,Wisconsin,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,4.8,143696.928
2018,Wisconsin,With a Disability,Self-employed in own not incorporated business workers,6.6,10689.69
2018,Wisconsin,No Disability,Self-employed in own not incorporated business workers,4.7,133090.887
2018,Wisconsin,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,5987.372
2018,Wisconsin,With a Disability,Unpaid family workers,0.6,971.79
2018,Wisconsin,No Disability,Unpaid family workers,0.2,5663.442
2018,Puerto Rico,Total Civilian Noninstitutionalized Population,,100,1004398
2018,Puerto Rico,With a Disability,,100,84713
2018,Puerto Rico,No Disability,,100,919685
2018,Puerto Rico,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,64.5,647836.71
2018,Puerto Rico,With a Disability,Private for-profit wage and salary workers,58.9,49895.957
2018,Puerto Rico,No Disability,Private for-profit wage and salary workers,65,597795.25
2018,Puerto Rico,Total Civilian Noninstitutionalized Population,Employee of private company workers,61.8,620717.964
2018,Puerto Rico,With a Disability,Employee of private company workers,55.1,46676.863
2018,Puerto Rico,No Disability,Employee of private company workers,62.4,573883.44
2018,Puerto Rico,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,2.7,27118.746
2018,Puerto Rico,With a Disability,Self-employed in own incorporated business workers,3.9,3303.807
2018,Puerto Rico,No Disability,Self-employed in own incorporated business workers,2.6,23911.81
2018,Puerto Rico,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,3.8,38167.124
2018,Puerto Rico,With a Disability,Private not-for-profit wage and salary workers,3.5,2964.955
2018,Puerto Rico,No Disability,Private not-for-profit wage and salary workers,3.8,34948.03
2018,Puerto Rico,Total Civilian Noninstitutionalized Population,Local government workers,5.9,59259.482
2018,Puerto Rico,With a Disability,Local government workers,7.3,6184.049
2018,Puerto Rico,No Disability,Local government workers,5.7,52422.045
2018,Puerto Rico,Total Civilian Noninstitutionalized Population,State government workers,13.7,137602.526
2018,Puerto Rico,With a Disability,State government workers,16.7,14147.071
2018,Puerto Rico,No Disability,State government workers,13.5,124157.475
2018,Puerto Rico,Total Civilian Noninstitutionalized Population,Federal government workers,2.4,24105.552
2018,Puerto Rico,With a Disability,Federal government workers,2.1,1778.973
2018,Puerto Rico,No Disability,Federal government workers,2.4,22072.44
2018,Puerto Rico,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,9.6,96422.208
2018,Puerto Rico,With a Disability,Self-employed in own not incorporated business workers,11.2,9487.856
2018,Puerto Rico,No Disability,Self-employed in own not incorporated business workers,9.4,86450.39
2018,Puerto Rico,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.1,1004.398
2018,Puerto Rico,With a Disability,Unpaid family workers,0.2,169.426
2018,Puerto Rico,No Disability,Unpaid family workers,0.1,919.685
2018,Kansas,Total Civilian Noninstitutionalized Population,,100,1442441
2018,Kansas,With a Disability,,100,105927
2018,Kansas,No Disability,,100,1336514
2018,Kansas,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,70.3,1014036.023
2018,Kansas,With a Disability,Private for-profit wage and salary workers,67.6,71606.652
2018,Kansas,No Disability,Private for-profit wage and salary workers,70.5,942242.37
2018,Kansas,Total Civilian Noninstitutionalized Population,Employee of private company workers,67.3,970762.793
2018,Kansas,With a Disability,Employee of private company workers,65.3,69170.331
2018,Kansas,No Disability,Employee of private company workers,67.4,900810.436
2018,Kansas,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3,43273.23
2018,Kansas,With a Disability,Self-employed in own incorporated business workers,2.3,2436.321
2018,Kansas,No Disability,Self-employed in own incorporated business workers,3.1,41431.934
2018,Kansas,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,8.1,116837.721
2018,Kansas,With a Disability,Private not-for-profit wage and salary workers,8.9,9427.503
2018,Kansas,No Disability,Private not-for-profit wage and salary workers,8,106921.12
2018,Kansas,Total Civilian Noninstitutionalized Population,Local government workers,6.9,99528.429
2018,Kansas,With a Disability,Local government workers,6.6,6991.182
2018,Kansas,No Disability,Local government workers,7,93555.98
2018,Kansas,Total Civilian Noninstitutionalized Population,State government workers,6,86546.46
2018,Kansas,With a Disability,State government workers,5,5296.35
2018,Kansas,No Disability,State government workers,6,80190.84
2018,Kansas,Total Civilian Noninstitutionalized Population,Federal government workers,2.5,36061.025
2018,Kansas,With a Disability,Federal government workers,3.3,3495.591
2018,Kansas,No Disability,Federal government workers,2.4,32076.336
2018,Kansas,Total Civilian Noninstitutionalized Population,Self-employed in own not incorporated business workers,6,86546.46
2018,Kansas,With a Disability,Self-employed in own not incorporated business workers,8.4,8897.868
2018,Kansas,No Disability,Self-employed in own not incorporated business workers,5.8,77517.812
2018,Kansas,Total Civilian Noninstitutionalized Population,Unpaid family workers,0.2,2884.882
2018,Kansas,With a Disability,Unpaid family workers,0.3,317.781
2018,Kansas,No Disability,Unpaid family workers,0.2,2673.028
2018,Virginia,Total Civilian Noninstitutionalized Population,,100,4180789
2018,Virginia,With a Disability,,100,234310
2018,Virginia,No Disability,,100,3946479
2018,Virginia,Total Civilian Noninstitutionalized Population,Private for-profit wage and salary workers,67.1,2805309.419
2018,Virginia,With a Disability,Private for-profit wage and salary workers,64,149958.4
2018,Virginia,No Disability,Private for-profit wage and salary workers,67.2,2652033.888
2018,Virginia,Total Civilian Noninstitutionalized Population,Employee of private company workers,63.8,2667343.382
2018,Virginia,With a Disability,Employee of private company workers,60.9,142694.79
2018,Virginia,No Disability,Employee of private company workers,64,2525746.56
2018,Virginia,Total Civilian Noninstitutionalized Population,Self-employed in own incorporated business workers,3.3,137966.037
2018,Virginia,With a Disability,Self-employed in own incorporated business workers,3,7029.3
2018,Virginia,No Disability,Self-employed in own incorporated business workers,3.3,130233.807
2018,Virginia,Total Civilian Noninstitutionalized Population,Private not-for-profit wage and salary workers,7.9,330282.331
2018,Virginia,With a Disability,Private not-for-profit wage and salary workers,8.1,18979.11
